Ticker,Entry_Date,Entry_Price,Pattern_Maturity,Target_Hit,Days_To_Target,Date_Hit,Max_Potential_Return
TSLA,2025-08-20,323.9,0.9,True,23,2025-09-12,20.0
APA,2025-08-20,20.11,0.89,True,27,2025-09-16,20.0
HAL,2025-08-20,20.94,0.55,True,37,2025-09-26,20.0
BIIB,2025-08-20,138.99,0.71,True,85,2025-11-13,20.0
CRM,2025-08-20,246.02,0.75,False,68,N/A,8.58
PG,2025-08-20,158.4,0.78,False,68,N/A,1.35
WMT,2025-08-20,102.57,0.88,False,68,N/A,6.83
GILD,2025-08-20,117.91,0.74,False,68,N/A,9.15
FTNT,2025-08-20,79.61,0.66,False,68,N/A,10.11
NXPI,2025-08-20,227.72,0.7,False,68,N/A,5.53
ODFL,2025-08-20,149.96,0.75,False,68,N/A,6.54
XOM,2025-08-20,108.53,0.94,False,68,N/A,11.31
ABBV,2025-08-20,207.65,0.78,False,68,N/A,17.05
COP,2025-08-20,94.89,0.86,False,68,N/A,5.02
WMB,2025-08-20,56.74,0.76,False,68,N/A,15.53
MSI,2025-08-20,461.08,0.94,False,68,N/A,6.51
OKE,2025-08-20,72.55,0.76,False,68,N/A,3.75
OXY,2025-08-20,44.03,0.87,False,68,N/A,12.3
LEN,2025-08-20,129.77,0.7,False,68,N/A,10.68
AWK,2025-08-20,145.62,0.6,False,68,N/A,1.52
DG,2025-08-20,114.16,0.77,False,68,N/A,0.13
DVN,2025-08-20,33.55,0.8,False,68,N/A,11.07
SBAC,2025-08-20,222.6,0.66,False,68,N/A,1.23
CPAY,2025-08-20,316.42,0.82,False,68,N/A,4.78
APTV,2025-08-20,75.15,0.79,False,68,N/A,18.16
GEN,2025-08-20,31.44,0.74,False,68,N/A,1.4
WY,2025-08-20,25.81,0.76,False,68,N/A,3.38
NDSN,2025-08-20,212.74,0.95,False,68,N/A,13.03
MAS,2025-08-20,72.66,0.82,False,68,N/A,4.64
BLDR,2025-08-20,132.75,0.61,False,68,N/A,13.77
DAY,2025-08-20,67.4,0.53,False,68,N/A,3.64
