Ticker,Date,Close,Maturity,Slope_Res,Slope_Sup,Pattern_Width_Start,Pattern_Width_End
TFC,2025-11-25,46.47999954223633,0.97,-0.0111,0.1295,18.31,0.6
PSKY,2025-11-25,15.574999809265137,0.97,-0.0755,0.0537,16.77,0.49
STE,2025-11-25,267.6400146484375,0.95,-0.2,0.1421,45.55,2.45
WDAY,2025-11-25,235.35000610351562,0.93,-0.1065,0.3134,57.01,4.1
MRK,2025-11-25,104.7699966430664,0.93,-0.1105,0.0622,23.48,1.72
OXY,2025-11-25,41.51499938964844,0.92,-0.1436,0.0,19.75,1.66
FCX,2025-11-25,41.1150016784668,0.92,-0.0623,0.0837,20.07,1.68
SCHW,2025-11-25,90.95999908447266,0.92,-0.0353,0.0608,13.1,0.99
TAP,2025-11-25,46.33000183105469,0.91,-0.0879,0.0,12.23,1.15
BXP,2025-11-25,72.5,0.91,-0.0982,0.0767,24.31,2.27
FICO,2025-11-25,1812.31005859375,0.9,-4.0753,3.6055,1074.35,106.58
AES,2025-11-25,13.829999923706055,0.9,-0.0199,0.0216,5.78,0.56
ODFL,2025-11-25,134.8000030517578,0.88,-0.2862,0.0103,42.31,4.95
AIG,2025-11-25,75.4800033569336,0.88,-0.0914,0.0304,17.49,2.13
INTU,2025-11-25,650.6799926757812,0.87,-1.3825,-0.2771,159.87,20.6
TDG,2025-11-25,1356.6500244140625,0.86,-1.7255,0.7055,357.43,51.14
PNR,2025-11-25,106.33999633789062,0.86,-0.0835,0.0707,22.6,3.17
SBAC,2025-11-25,194.5399932861328,0.83,-0.3123,0.1327,67.83,11.76
LHX,2025-11-25,276.92999267578125,0.83,-0.141,0.2417,58.01,9.8
COST,2025-11-25,894.4400024414062,0.82,-0.6295,0.2001,127.93,23.41
NWSA,2025-11-25,25.55500030517578,0.8,-0.1086,-0.0503,9.13,1.79
HOOD,2025-11-25,116.3499984741211,0.8,-0.1356,0.3356,74.16,14.79
PH,2025-11-25,853.8300170898438,0.78,-0.3045,0.3836,110.48,23.77
ACN,2025-11-25,250.0800018310547,0.76,-0.099,0.1909,48.25,11.72
BKR,2025-11-25,49.45500183105469,0.75,-0.0181,0.0483,11.19,2.82
UBER,2025-11-25,83.6449966430664,0.73,-0.039,0.0758,19.75,5.28
INVH,2025-11-25,28.174999237060547,0.72,-0.0357,-0.0165,3.35,0.94
LULU,2025-11-25,178.97999572753906,0.72,-0.3215,0.0242,60.18,16.62
RVTY,2025-11-25,105.80000305175781,0.7,-0.0431,0.1122,28.1,8.53
IR,2025-11-25,79.8499984741211,0.7,-0.0778,0.0077,15.34,4.56
EG,2025-11-25,315.80499267578125,0.69,-1.1091,-0.5931,94.24,29.22
IBKR,2025-11-25,63.0099983215332,0.66,-0.0033,0.0896,17.71,6.0
SBUX,2025-11-25,85.81999969482422,0.66,-0.1189,-0.0168,19.44,6.57
GWW,2025-11-25,937.9000244140625,0.66,-0.716,0.0819,152.31,51.78
V,2025-11-25,334.8949890136719,0.64,-0.072,0.0862,31.32,11.38
PEG,2025-11-25,81.8499984741211,0.63,-0.0586,0.0029,12.38,4.63
ADI,2025-11-25,250.47999572753906,0.59,-0.1534,0.0641,46.24,18.84
NXPI,2025-11-25,191.9199981689453,0.58,-0.1619,0.0436,44.65,18.76
EW,2025-11-25,86.79000091552734,0.57,-0.0681,-0.03,8.41,3.62
CRM,2025-11-25,233.55999755859375,0.55,-0.0761,0.1485,51.09,22.79
WYNN,2025-11-25,126.77999877929688,0.54,-0.0005,0.1487,34.79,15.99
OTIS,2025-11-25,88.52999877929688,0.53,0.0344,0.0656,7.47,3.53
MCO,2025-11-25,486.9599914550781,0.52,-0.3459,-0.1222,54.41,26.22
