entry_date,exit_date,dir,pnl,reason
2017-05-02,2017-06-09,LONG,9671.038897660823,Trail_SL
2017-09-22,2017-11-09,LONG,1975.9428905637494,Trail_SL
2018-05-04,2018-06-22,LONG,1644.2806449482048,Trail_SL
2020-12-09,2021-01-04,SHORT,-558.918860460939,Trail_SL
2021-01-27,2021-02-23,LONG,995.4561149370476,Trail_SL
2021-03-01,2021-03-04,LONG,-1137.2779968764887,Trail_SL
2021-05-18,2021-05-21,SHORT,-741.0537526624901,Trail_SL
2024-05-21,2024-06-24,LONG,5424.482833274538,Trail_SL
2024-08-20,2024-09-03,LONG,-1172.7395077138444,Trail_SL
2024-10-07,2024-11-25,LONG,1328.423244724393,Trail_SL
