Entry Date,Exit Date,Direction,Entry Price,Exit Price,PnL ($),Return (%),Exit Reason
2020-03-11,2020-04-24,short,274.36,282.97,-2237.875696887841,-2.237875696887841,close
2020-04-27,2020-04-30,long,287.05,290.48,-868.0837616529323,-0.8680837616529322,close
2020-05-01,2020-05-05,long,282.79,286.19,903.9562471440229,0.9039562471440228,close
2020-05-06,2020-05-07,long,284.25,287.68,900.1975023669061,0.900197502366906,close
2020-05-08,2020-05-12,short,292.44,286.67,1524.5685433498802,1.5245685433498801,close
2020-05-13,2020-05-21,long,281.6,294.88,-3468.998405713711,-3.4689984057137107,close
2020-06-01,2020-06-02,short,305.55,308.08,-607.3191320191502,-0.6073191320191502,close
2020-06-03,2020-06-04,short,312.18,311.36,189.90421649561688,0.1899042164956169,close
2020-06-08,2020-06-09,short,323.2,320.79,524.7606330286256,0.5247606330286256,close
2020-06-11,2020-06-18,long,300.61,311.78,2692.292775999009,2.6922927759990087,close
2020-06-19,2020-06-22,long,308.64,310.62,459.67943075249394,0.4596794307524939,close
2020-06-23,2020-07-02,long,312.05,312.23,-41.87312190810869,-0.04187312190810869,close
2020-07-07,2020-07-08,long,313.78,316.18,546.1123087575039,0.5461123087575039,close
2020-07-09,2020-07-10,long,314.38,317.59,724.1561382707898,0.7241561382707898,close
2020-07-13,2020-07-15,long,314.84,321.85,1578.2312816494245,1.5782312816494246,close
2020-07-20,2020-07-28,short,324.32,321.17,693.4889196211675,0.6934889196211675,close
2020-07-29,2020-07-30,short,325.12,323.96,251.3669600315108,0.2513669600315108,close
2020-07-31,2020-08-24,long,326.52,342.92,-3383.482830445049,-3.383482830445049,close
2020-08-25,2020-08-28,short,344.12,350.58,-1248.0461647515865,-1.2480461647515866,close
2020-09-01,2020-09-18,short,352.6,330.65,-4348.596094839769,-4.3485960948397695,close
2020-09-21,2020-09-29,short,326.97,332.37,1200.0891481866088,1.200089148186609,close
2020-09-30,2020-10-08,long,334.89,343.78,-1906.988593915876,-1.906988593915876,close
2020-10-14,2020-10-15,long,347.93,347.5,-87.90123210925461,-0.08790123210925462,close
2020-10-20,2020-11-06,long,343.38,350.16,1306.9686970098473,1.3069686970098475,close
2020-11-12,2020-11-13,long,353.21,358.1,926.9902340581582,0.9269902340581582,close
2020-11-18,2020-11-19,long,356.28,357.78,285.13612832654275,0.2851361283265427,close
2020-11-20,2020-11-23,long,355.33,357.46,402.79268375646024,0.4027926837564602,close
2020-12-01,2021-01-29,short,366.02,370.07,755.050196136674,0.755050196136674,close
